scenario,detector_name,best_macro_f1
catch24,baseline,0.7797300162293666
drift,ADWIN,0.5627476903323461
catch24_drift,ADWIN,0.8350222181115491
drift,PageHinkley,0.5668841087182448
catch24_drift,PageHinkley,0.8733929028899319
drift,KSWIN,0.49276527844157314
catch24_drift,KSWIN,0.8683823235522985
drift,CUSUM,0.6222882884378054
catch24_drift,CUSUM,0.8518396920414893
drift,EWMAChart,0.4386379706367697
catch24_drift,EWMAChart,0.7893541371518306
drift,GeometricMovingAverage,0.6509047699297128
catch24_drift,GeometricMovingAverage,0.8533885049523546
drift,HDDMAverage,0.6131215109884958
catch24_drift,HDDMAverage,0.8955778839467637
drift,HDDMWeighted,0.4690261457547746
catch24_drift,HDDMWeighted,0.845852865741277
drift,SEED,0.5194258932355601
catch24_drift,SEED,0.8399388811309969
baseline,baseline,0.298116782592322
