scenario,detector_name,best_macro_f1
catch24,baseline,0.6937138680981512
drift,ADWIN,0.5848246534149613
catch24_drift,ADWIN,0.8181261415773029
drift,PageHinkley,0.5701318849585048
catch24_drift,PageHinkley,0.7885172296526163
drift,KSWIN,0.6459952863207261
catch24_drift,KSWIN,0.8571160575997225
drift,CUSUM,0.6280591815117502
catch24_drift,CUSUM,0.7948970617684327
drift,EWMAChart,0.5445919609513256
catch24_drift,EWMAChart,0.7425448276309783
drift,GeometricMovingAverage,0.6955008655010423
catch24_drift,GeometricMovingAverage,0.8220492220262164
drift,HDDMAverage,0.5586173345288448
catch24_drift,HDDMAverage,0.7988385738877851
drift,HDDMWeighted,0.48936288848448406
catch24_drift,HDDMWeighted,0.7423802932145165
drift,SEED,0.6128134269838238
catch24_drift,SEED,0.7723738386855483
baseline,baseline,0.41457147706480724
