scenario,detector_name,best_macro_f1
catch24,baseline,0.69310818569265
drift,ADWIN,0.6140156049241624
catch24_drift,ADWIN,0.774132193516816
drift,PageHinkley,0.8086023610827144
catch24_drift,PageHinkley,0.8522028169682944
drift,KSWIN,0.6080397058636396
catch24_drift,KSWIN,0.7832396048687491
drift,CUSUM,0.77301095875911
catch24_drift,CUSUM,0.8079274492328921
drift,EWMAChart,0.6818947002968804
catch24_drift,EWMAChart,0.7930911545391968
drift,GeometricMovingAverage,0.7751100869053678
catch24_drift,GeometricMovingAverage,0.8557655254528417
drift,HDDMAverage,0.7707075794811479
catch24_drift,HDDMAverage,0.832021052349378
drift,HDDMWeighted,0.6318250653793962
catch24_drift,HDDMWeighted,0.7941848636528535
drift,SEED,0.6933247013326089
catch24_drift,SEED,0.7879063920839273
baseline,baseline,0.422582918459414
