run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
D_D_D_,0,[0],50180,4547,4,4
D_D_D_,1,[1],50070,4657,4,4
D_D_D_,2,[2],49934,4793,4,4
D_D_D_,3,[3],50367,4360,4,4
D_D_D_,4,[4],50166,4561,4,4
D_D_D_,5,[5],50024,4703,4,4
D_D_D_,6,[6],50036,4691,4,4
D_D_D_,7,[7],49952,4775,4,4
D_D_D_,8,[8],50240,4487,4,4
D_D_D_,9,[9],50212,4515,4,4
D_D_D_,10,[10],50199,4528,4,4
D_D_D_,11,[11],50617,4110,4,4
D_D_D_,0,[0],50180,4547,4,4
D_D_D_,1,[1],50070,4657,4,4
D_D_D_,2,[2],49934,4793,4,4
D_D_D_,3,[3],50367,4360,4,4
D_D_D_,4,[4],50166,4561,4,4
D_D_D_,5,[5],50024,4703,4,4
D_D_D_,6,[6],50036,4691,4,4
D_D_D_,7,[7],49952,4775,4,4
D_D_D_,8,[8],50240,4487,4,4
D_D_D_,9,[9],50212,4515,4,4
D_D_D_,10,[10],50199,4528,4,4
D_D_D_,11,[11],50617,4110,4,4
