run,fold,test_bases,RF
D_D_D_,0,[0],0.4472612041647804
D_D_D_,1,[1],0.456934628975265
D_D_D_,2,[2],0.5263722126929674
D_D_D_,3,[3],0.477901205388797
D_D_D_,4,[4],0.4329873646209386
D_D_D_,5,[5],0.4857892435505028
D_D_D_,6,[6],0.4605436212187637
D_D_D_,7,[7],0.456091261300043
D_D_D_,8,[8],0.4954107388710417
D_D_D_,9,[9],0.4259005927952576
D_D_D_,10,[10],0.4157763127983632
D_D_D_,11,[11],0.5561416729464959
D_D_D_,0,[0],0.44726120416478043
D_D_D_,1,[1],0.45693462897526504
D_D_D_,2,[2],0.5263722126929674
D_D_D_,3,[3],0.477901205388797
D_D_D_,4,[4],0.4329873646209386
D_D_D_,5,[5],0.48578924355050285
D_D_D_,6,[6],0.4605436212187637
D_D_D_,7,[7],0.45609126130004307
D_D_D_,8,[8],0.49541073887104176
D_D_D_,9,[9],0.42590059279525766
D_D_D_,10,[10],0.41577631279836325
D_D_D_,11,[11],0.5561416729464959
