run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
D_D_D_,0,[0],48761,4418,96,96
D_D_D_,1,[1],48651,4528,96,96
D_D_D_,2,[2],48515,4664,96,96
D_D_D_,3,[3],48948,4231,96,96
D_D_D_,4,[4],48747,4432,96,96
D_D_D_,5,[5],48605,4574,96,96
D_D_D_,6,[6],48617,4562,96,96
D_D_D_,7,[7],48533,4646,96,96
D_D_D_,8,[8],48821,4358,96,96
D_D_D_,9,[9],48793,4386,96,96
D_D_D_,10,[10],48780,4399,96,96
D_D_D_,11,[11],49198,3981,96,96
D_D_D_,0,[0],48761,4418,96,96
D_D_D_,1,[1],48651,4528,96,96
D_D_D_,2,[2],48515,4664,96,96
D_D_D_,3,[3],48948,4231,96,96
D_D_D_,4,[4],48747,4432,96,96
D_D_D_,5,[5],48605,4574,96,96
D_D_D_,6,[6],48617,4562,96,96
D_D_D_,7,[7],48533,4646,96,96
D_D_D_,8,[8],48821,4358,96,96
D_D_D_,9,[9],48793,4386,96,96
D_D_D_,10,[10],48780,4399,96,96
D_D_D_,11,[11],49198,3981,96,96
