run,fold,test_bases,RF
D_abrupto_D_,0,[0],0.2660698813124523
D_abrupto_D_,1,[1],0.2415813414626752
D_abrupto_D_,2,[2],0.4685276971861948
D_abrupto_D_,3,[3],0.0749872756822322
D_abrupto_D_,4,[4],0.2476212162579185
D_abrupto_D_,5,[5],0.0995954534144385
D_abrupto_D_,6,[6],0.0733816349660255
D_abrupto_D_,7,[7],0.1665432541871407
D_abrupto_D_,8,[8],0.3070676397269574
D_abrupto_D_,9,[9],0.218672396408539
D_abrupto_D_,10,[10],0.089087875904972
D_abrupto_D_,11,[11],0.1431240147083606
D_abrupto_D_,0,[0],0.2660698813124523
D_abrupto_D_,1,[1],0.24158134146267526
D_abrupto_D_,2,[2],0.4685276971861948
D_abrupto_D_,3,[3],0.07498727568223225
D_abrupto_D_,4,[4],0.24762121625791858
D_abrupto_D_,5,[5],0.09959545341443855
D_abrupto_D_,6,[6],0.07338163496602554
D_abrupto_D_,7,[7],0.1665432541871407
D_abrupto_D_,8,[8],0.3070676397269574
D_abrupto_D_,9,[9],0.21867239640853908
D_abrupto_D_,10,[10],0.08908787590497204
D_abrupto_D_,11,[11],0.14312401470836064
