run,fold,test_bases,RF
D_gradual_D_,0,[0],0.17128207469978
D_gradual_D_,1,[1],0.4657575583864895
D_gradual_D_,2,[2],0.1825038277782694
D_gradual_D_,3,[3],0.3531445811789334
D_gradual_D_,4,[4],0.1450218720941272
D_gradual_D_,5,[5],0.5522194939442904
D_gradual_D_,6,[6],0.2628539017941368
D_gradual_D_,7,[7],0.2818848725062802
D_gradual_D_,8,[8],0.5406047785104788
D_gradual_D_,9,[9],0.3326370473868881
D_gradual_D_,10,[10],0.3998816215470273
D_gradual_D_,11,[11],0.3920915393274459
D_gradual_D_,0,[0],0.17128207469978002
D_gradual_D_,1,[1],0.4657575583864895
D_gradual_D_,2,[2],0.18250382777826948
D_gradual_D_,3,[3],0.35314458117893344
D_gradual_D_,4,[4],0.1450218720941272
D_gradual_D_,5,[5],0.5522194939442904
D_gradual_D_,6,[6],0.26285390179413687
D_gradual_D_,7,[7],0.28188487250628025
D_gradual_D_,8,[8],0.5406047785104788
D_gradual_D_,9,[9],0.3326370473868881
D_gradual_D_,10,[10],0.3998816215470273
D_gradual_D_,11,[11],0.3920915393274459
