run,fold,test_bases,RF
D_incremental_D_,0,[0],0.3829259694802521
D_incremental_D_,1,[1],0.7498566790331889
D_incremental_D_,2,[2],0.4427195344286027
D_incremental_D_,3,[3],0.6109676997655502
D_incremental_D_,4,[4],0.4578067314324632
D_incremental_D_,5,[5],0.2844249452633944
D_incremental_D_,6,[6],0.4077740056917269
D_incremental_D_,7,[7],0.5361273220903432
D_incremental_D_,8,[8],0.455316817667601
D_incremental_D_,9,[9],0.4625212219051469
D_incremental_D_,10,[10],0.5478000449410703
D_incremental_D_,11,[11],0.6540002498463627
D_incremental_D_,0,[0],0.3829259694802521
D_incremental_D_,1,[1],0.7498566790331889
D_incremental_D_,2,[2],0.4427195344286027
D_incremental_D_,3,[3],0.6109676997655502
D_incremental_D_,4,[4],0.4578067314324632
D_incremental_D_,5,[5],0.2844249452633944
D_incremental_D_,6,[6],0.40777400569172695
D_incremental_D_,7,[7],0.5361273220903432
D_incremental_D_,8,[8],0.45531681766760107
D_incremental_D_,9,[9],0.4625212219051469
D_incremental_D_,10,[10],0.5478000449410703
D_incremental_D_,11,[11],0.6540002498463627
