run,fold,test_bases,RF
D_incremental_D_,0,[0],0.5088626292466765
D_incremental_D_,1,[1],0.8040638606676342
D_incremental_D_,2,[2],0.6416122004357299
D_incremental_D_,3,[3],0.690876195399328
D_incremental_D_,4,[4],0.6722879436194311
D_incremental_D_,5,[5],0.48141455859576665
D_incremental_D_,6,[6],0.7000488519785051
D_incremental_D_,7,[7],0.585239651416122
D_incremental_D_,8,[8],0.6457688338493293
D_incremental_D_,9,[9],0.6681448632668144
D_incremental_D_,10,[10],0.7056241426611797
D_incremental_D_,11,[11],0.699228791773779
