run,fold,test_bases,RF
D_incremental_D_,0,[0],0.5009448771508653
D_incremental_D_,1,[1],0.8085203832557427
D_incremental_D_,2,[2],0.6388992264671526
D_incremental_D_,3,[3],0.7046429981667419
D_incremental_D_,4,[4],0.6386778291526947
D_incremental_D_,5,[5],0.5060864344361744
D_incremental_D_,6,[6],0.686966606805691
D_incremental_D_,7,[7],0.5923982083360538
D_incremental_D_,8,[8],0.6675360485998784
D_incremental_D_,9,[9],0.6390912333457609
D_incremental_D_,10,[10],0.70951533476575
D_incremental_D_,11,[11],0.6961709242720268
