run,fold,test_bases,RF
D_incremental_D_,0,[0],0.34528504481716155
D_incremental_D_,1,[1],0.7279801414086907
D_incremental_D_,2,[2],0.4233795366793656
D_incremental_D_,3,[3],0.6228263015202343
D_incremental_D_,4,[4],0.45606775739436245
D_incremental_D_,5,[5],0.2963440147044101
D_incremental_D_,6,[6],0.4144913876910508
D_incremental_D_,7,[7],0.6029305675827938
D_incremental_D_,8,[8],0.4463298176385707
D_incremental_D_,9,[9],0.4495511100184848
D_incremental_D_,10,[10],0.622539928599871
D_incremental_D_,11,[11],0.7561352095651783
