run,fold,test_bases,RF
D_incremental_D_,0,[0],0.3754367356896706
D_incremental_D_,1,[1],0.7301073211112759
D_incremental_D_,2,[2],0.525805652864435
D_incremental_D_,3,[3],0.6165678023709262
D_incremental_D_,4,[4],0.4046706991032813
D_incremental_D_,5,[5],0.28404694509511075
D_incremental_D_,6,[6],0.5701280568350605
D_incremental_D_,7,[7],0.42802237036255336
D_incremental_D_,8,[8],0.5201660805431223
D_incremental_D_,9,[9],0.44798328220705425
D_incremental_D_,10,[10],0.6342154250626713
D_incremental_D_,11,[11],0.7899834735727289
