run,fold,test_bases,RF
D_incremental_D_,0,[0],0.7323978335795175
D_incremental_D_,1,[1],0.7426221577164973
D_incremental_D_,2,[2],0.4332788671023965
D_incremental_D_,3,[3],0.6921685189971569
D_incremental_D_,4,[4],0.8061917946136421
D_incremental_D_,5,[5],0.3637067630356221
D_incremental_D_,6,[6],0.6858817782120176
D_incremental_D_,7,[7],0.6277233115468409
D_incremental_D_,8,[8],0.544891640866873
D_incremental_D_,9,[9],0.7161862527716186
D_incremental_D_,10,[10],0.5635116598079561
D_incremental_D_,11,[11],0.6303341902313625
