run,fold,test_bases,RF
D_incremental_D_,0,[0],0.4703283618861141
D_incremental_D_,1,[1],0.7823245631390616
D_incremental_D_,2,[2],0.6442155146868547
D_incremental_D_,3,[3],0.7287896780808603
D_incremental_D_,4,[4],0.6900902334179773
D_incremental_D_,5,[5],0.4777111556363052
D_incremental_D_,6,[6],0.634669863100201
D_incremental_D_,7,[7],0.7078574856686414
D_incremental_D_,8,[8],0.7611082717048021
D_incremental_D_,9,[9],0.670839209079867
D_incremental_D_,10,[10],0.6777792271621276
D_incremental_D_,11,[11],0.7186929503938965
