run,fold,test_bases,RF
D_incremental_D_,0,[0],0.4069423929098966
D_incremental_D_,1,[1],0.7595549104983067
D_incremental_D_,2,[2],0.5092592592592593
D_incremental_D_,3,[3],0.6541742052209873
D_incremental_D_,4,[4],0.5300780266800906
D_incremental_D_,5,[5],0.3151781104801239
D_incremental_D_,6,[6],0.4689789936492428
D_incremental_D_,7,[7],0.6081154684095861
D_incremental_D_,8,[8],0.47549019607843135
D_incremental_D_,9,[9],0.4865730475486573
D_incremental_D_,10,[10],0.6244170096021948
D_incremental_D_,11,[11],0.6573264781491003
