run,fold,test_bases,RF
D_incremental_D_,0,[0],0.6426664925235244
D_incremental_D_,1,[1],0.8213050884703276
D_incremental_D_,2,[2],0.6764511628742307
D_incremental_D_,3,[3],0.7170596035097082
D_incremental_D_,4,[4],0.5370185259229642
D_incremental_D_,5,[5],0.480671030996373
D_incremental_D_,6,[6],0.7559083383940381
D_incremental_D_,7,[7],0.6026467248262708
D_incremental_D_,8,[8],0.7131001956224312
D_incremental_D_,9,[9],0.6063817531968803
D_incremental_D_,10,[10],0.6643799299028909
D_incremental_D_,11,[11],0.625663678115466
