run,fold,test_bases,RF
D_incremental_D_,0,[0],0.4842338890582902
D_incremental_D_,1,[1],0.8018621087532118
D_incremental_D_,2,[2],0.644957800501075
D_incremental_D_,3,[3],0.6579173670333747
D_incremental_D_,4,[4],0.6526877294075818
D_incremental_D_,5,[5],0.4218950424842339
D_incremental_D_,6,[6],0.5410330931663881
D_incremental_D_,7,[7],0.6423563086055046
D_incremental_D_,8,[8],0.6137422504600241
D_incremental_D_,9,[9],0.6472731062866431
D_incremental_D_,10,[10],0.6231612700038122
D_incremental_D_,11,[11],0.6066323606909322
