run,fold,test_bases,RF
D_incremental_D_,0,[0],0.45991596833889015
D_incremental_D_,1,[1],0.7320174153698936
D_incremental_D_,2,[2],0.6827957682123195
D_incremental_D_,3,[3],0.7282797042652154
D_incremental_D_,4,[4],0.6440450810926879
D_incremental_D_,5,[5],0.5213970520620933
D_incremental_D_,6,[6],0.5942922264147849
D_incremental_D_,7,[7],0.5823587223312455
D_incremental_D_,8,[8],0.6792483476475308
D_incremental_D_,9,[9],0.6396854414420874
D_incremental_D_,10,[10],0.6041544226131409
D_incremental_D_,11,[11],0.665223483688896
