run,fold,test_bases,RF
D_incremental_D_,0,[0],0.20004970006243183
D_incremental_D_,1,[1],0.27511008503509615
D_incremental_D_,2,[2],0.25471770286764056
D_incremental_D_,3,[3],0.2911008565095068
D_incremental_D_,4,[4],0.3450823368060621
D_incremental_D_,5,[5],0.1075285929793403
D_incremental_D_,6,[6],0.061038093116507014
D_incremental_D_,7,[7],0.22849229269676938
D_incremental_D_,8,[8],0.2083879421899565
D_incremental_D_,9,[9],0.10974650874899268
D_incremental_D_,10,[10],0.17727615458845025
D_incremental_D_,11,[11],0.5691451294461334
