run,fold,test_bases,RF
D_incremental_D_,0,[0],0.23472648994954393
D_incremental_D_,1,[1],0.36154690542823864
D_incremental_D_,2,[2],0.41191112655756407
D_incremental_D_,3,[3],0.546755045352574
D_incremental_D_,4,[4],0.3630317079170794
D_incremental_D_,5,[5],0.06514673185795163
D_incremental_D_,6,[6],0.06034671933289445
D_incremental_D_,7,[7],0.0135754300442683
D_incremental_D_,8,[8],0.21140603202946076
D_incremental_D_,9,[9],0.5470294262312316
D_incremental_D_,10,[10],0.07675924924543061
D_incremental_D_,11,[11],0.5449804000822995
