run,fold,test_bases,RF
D_incremental_D_,0,[0],0.5351944643283226
D_incremental_D_,1,[1],0.39408866995073893
D_incremental_D_,2,[2],0.3812154696132597
D_incremental_D_,3,[3],0.5440220110055027
D_incremental_D_,4,[4],0.598488542174549
D_incremental_D_,5,[5],0.20059955033724705
D_incremental_D_,6,[6],0.128344778593417
D_incremental_D_,7,[7],0.19784267298079453
D_incremental_D_,8,[8],0.4916354556803995
D_incremental_D_,9,[9],0.2738777459407832
D_incremental_D_,10,[10],0.2912029676735559
D_incremental_D_,11,[11],0.5598407564070664
