run,fold,test_bases,RF
D_incremental_D_,0,[0],0.684800763540921
D_incremental_D_,1,[1],0.6647900539526155
D_incremental_D_,2,[2],0.5267034990791897
D_incremental_D_,3,[3],0.5475237618809404
D_incremental_D_,4,[4],0.7223305704534373
D_incremental_D_,5,[5],0.4026979765176118
D_incremental_D_,6,[6],0.5794458915462941
D_incremental_D_,7,[7],0.5432780847145487
D_incremental_D_,8,[8],0.6409488139825218
D_incremental_D_,9,[9],0.6177172874880611
D_incremental_D_,10,[10],0.6136724960254372
D_incremental_D_,11,[11],0.5065936800199055
