run,fold,test_bases,RF
D_incremental_D_,0,[0],0.5523741350513004
D_incremental_D_,1,[1],0.6903589021815623
D_incremental_D_,2,[2],0.5059194948697711
D_incremental_D_,3,[3],0.6603301650825413
D_incremental_D_,4,[4],0.6162847391516334
D_incremental_D_,5,[5],0.5978016487634275
D_incremental_D_,6,[6],0.5780251006393559
D_incremental_D_,7,[7],0.6406208892396738
D_incremental_D_,8,[8],0.5036204744069913
D_incremental_D_,9,[9],0.6119866284622731
D_incremental_D_,10,[10],0.6446740858505564
D_incremental_D_,11,[11],0.7529236128390147
