run,fold,test_bases,RF
D_incremental_D_,0,[0],0.2851348126938678
D_incremental_D_,1,[1],0.39080459770114945
D_incremental_D_,2,[2],0.33859510655090763
D_incremental_D_,3,[3],0.4147073536768384
D_incremental_D_,4,[4],0.454168698196002
D_incremental_D_,5,[5],0.13190107419435423
D_incremental_D_,6,[6],0.1290551740468861
D_incremental_D_,7,[7],0.30439358063667454
D_incremental_D_,8,[8],0.3807740324594257
D_incremental_D_,9,[9],0.24737344794651384
D_incremental_D_,10,[10],0.24218335983041867
D_incremental_D_,11,[11],0.5556108484697686
