run,fold,test_bases,RF
D_incremental_D_,0,[0],0.21921605961365304
D_incremental_D_,1,[1],0.27079915806105975
D_incremental_D_,2,[2],0.2153147394496176
D_incremental_D_,3,[3],0.22400901310881655
D_incremental_D_,4,[4],0.4046967251329329
D_incremental_D_,5,[5],0.026588242808774688
D_incremental_D_,6,[6],0.06550040691209578
D_incremental_D_,7,[7],0.12185176227575403
D_incremental_D_,8,[8],0.2103790702999046
D_incremental_D_,9,[9],0.11912119613710113
D_incremental_D_,10,[10],0.15421996443387442
D_incremental_D_,11,[11],0.6266383394531967
