run,fold,test_bases,RF
D_incremental_D_,0,[0],0.6795312368491536
D_incremental_D_,1,[1],0.5036107848098604
D_incremental_D_,2,[2],0.17284499908457784
D_incremental_D_,3,[3],0.7976729207469072
D_incremental_D_,4,[4],0.6396406902501108
D_incremental_D_,5,[5],0.34228146947682453
D_incremental_D_,6,[6],0.4602803758937369
D_incremental_D_,7,[7],0.42044154955494606
D_incremental_D_,8,[8],0.4841666183253842
D_incremental_D_,9,[9],0.44499051832432235
D_incremental_D_,10,[10],0.5847556197392819
D_incremental_D_,11,[11],0.34222280000981387
