run,fold,test_bases,RF
D_incremental_D_,0,[0],0.4339190318440923
D_incremental_D_,1,[1],0.733091046339844
D_incremental_D_,2,[2],0.5449044864569338
D_incremental_D_,3,[3],0.7628371794316108
D_incremental_D_,4,[4],0.59231146972539
D_incremental_D_,5,[5],0.5213615748634137
D_incremental_D_,6,[6],0.6304087943304176
D_incremental_D_,7,[7],0.5723092281802855
D_incremental_D_,8,[8],0.6418656065501829
D_incremental_D_,9,[9],0.6839363489063714
D_incremental_D_,10,[10],0.5152357088331212
D_incremental_D_,11,[11],0.6587289802496984
