run,fold,test_bases,RF
D_incremental_D_,0,[0],0.499164877117633
D_incremental_D_,1,[1],0.6856673703964344
D_incremental_D_,2,[2],0.5543278084714549
D_incremental_D_,3,[3],0.6043021510755378
D_incremental_D_,4,[4],0.6452949780594832
D_incremental_D_,5,[5],0.43417436922308267
D_incremental_D_,6,[6],0.5413213355434525
D_incremental_D_,7,[7],0.6166798210997106
D_incremental_D_,8,[8],0.6511860174781523
D_incremental_D_,9,[9],0.5171919770773639
D_incremental_D_,10,[10],0.5344462109167991
D_incremental_D_,11,[11],0.6501617317740731
