run,fold,test_bases,RF
D_incremental_I_,0,[0],0.3673762257833054
D_incremental_I_,1,[1],0.086377933704331
D_incremental_I_,2,[2],0.34388593523441274
D_incremental_I_,3,[3],0.3360323886639676
D_incremental_I_,4,[4],0.46009150991357395
D_incremental_I_,5,[5],0.514018691588785
D_incremental_I_,6,[6],0.09127483027407593
D_incremental_I_,7,[7],0.5337643678160919
D_incremental_I_,8,[8],0.2185246810870771
D_incremental_I_,9,[9],0.4957359009628611
D_incremental_I_,10,[10],0.3862536302032914
D_incremental_I_,11,[11],0.3794428434197887
