run,fold,test_bases,RF
D_incremental_I_,0,[0],0.5092083233676155
D_incremental_I_,1,[1],0.13307524800387127
D_incremental_I_,2,[2],0.3431609473175447
D_incremental_I_,3,[3],0.40271493212669685
D_incremental_I_,4,[4],0.43365531265887136
D_incremental_I_,5,[5],0.5293553798226696
D_incremental_I_,6,[6],0.13075182298214735
D_incremental_I_,7,[7],0.5402298850574713
D_incremental_I_,8,[8],0.24653355518580145
D_incremental_I_,9,[9],0.5276478679504815
D_incremental_I_,10,[10],0.3119554695062923
D_incremental_I_,11,[11],0.27761767531219983
