run,fold,test_bases,RF
D_incremental_I_,0,[0],0.4292597077549698
D_incremental_I_,1,[1],0.12738672790414654
D_incremental_I_,2,[2],0.22235103333537273
D_incremental_I_,3,[3],0.32925290433963283
D_incremental_I_,4,[4],0.4078408036716962
D_incremental_I_,5,[5],0.3962636689486302
D_incremental_I_,6,[6],0.09297398762705339
D_incremental_I_,7,[7],0.46724060552892843
D_incremental_I_,8,[8],0.2035911974730774
D_incremental_I_,9,[9],0.42114078059645205
D_incremental_I_,10,[10],0.27368278489185605
D_incremental_I_,11,[11],0.22921385310293332
