run,fold,test_bases,RF
D_incremental_I_,0,[0],0.3412334475984534
D_incremental_I_,1,[1],0.0
D_incremental_I_,2,[2],0.3499066810517528
D_incremental_I_,3,[3],0.3532975911950147
D_incremental_I_,4,[4],0.3585368144123691
D_incremental_I_,5,[5],0.3311887982699779
D_incremental_I_,6,[6],0.10403062412416249
D_incremental_I_,7,[7],0.43429842527647594
D_incremental_I_,8,[8],0.3649996631938207
D_incremental_I_,9,[9],0.348060429178757
D_incremental_I_,10,[10],0.25450249895708227
D_incremental_I_,11,[11],0.34052160463239567
