run,fold,test_bases,RF
D_incremental_I_,0,[0],0.4338674958143985
D_incremental_I_,1,[1],0.15364142269537867
D_incremental_I_,2,[2],0.34823586273562107
D_incremental_I_,3,[3],0.4508216241962372
D_incremental_I_,4,[4],0.44102694458566344
D_incremental_I_,5,[5],0.5264797507788161
D_incremental_I_,6,[6],0.14659290922806134
D_incremental_I_,7,[7],0.5933908045977011
D_incremental_I_,8,[8],0.2420965058236273
D_incremental_I_,9,[9],0.543878954607978
D_incremental_I_,10,[10],0.2867860600193611
D_incremental_I_,11,[11],0.34774255523535064
