run,fold,test_bases,RF
D_incremental_I_,0,[0],0.35372860845599796
D_incremental_I_,1,[1],0.1233313147932247
D_incremental_I_,2,[2],0.239463450864818
D_incremental_I_,3,[3],0.3319031777658017
D_incremental_I_,4,[4],0.4100181464661605
D_incremental_I_,5,[5],0.4049609672053912
D_incremental_I_,6,[6],0.12293691046448886
D_incremental_I_,7,[7],0.5229016322838473
D_incremental_I_,8,[8],0.18259260547053524
D_incremental_I_,9,[9],0.4551515919430491
D_incremental_I_,10,[10],0.26374768937559306
D_incremental_I_,11,[11],0.288817037604946
