run,fold,test_bases,RF
D_incremental_I_,0,[0],0.5410188950011959
D_incremental_I_,1,[1],0.1369465279458021
D_incremental_I_,2,[2],0.41904301594973414
D_incremental_I_,3,[3],0.22695879971421767
D_incremental_I_,4,[4],0.3177427554651754
D_incremental_I_,5,[5],0.6566019650131799
D_incremental_I_,6,[6],0.352024138798089
D_incremental_I_,7,[7],0.49688697318007663
D_incremental_I_,8,[8],0.5429839156960621
D_incremental_I_,9,[9],0.11994497936726273
D_incremental_I_,10,[10],0.10769603097773475
D_incremental_I_,11,[11],0.5220941402497599
