run,fold,test_bases,RF
D_incremental_I_,0,[0],0.3566132504185602
D_incremental_I_,1,[1],0.08202274376965885
D_incremental_I_,2,[2],0.3859352344127598
D_incremental_I_,3,[3],0.2755417956656347
D_incremental_I_,4,[4],0.5231316725978647
D_incremental_I_,5,[5],0.5262401150251618
D_incremental_I_,6,[6],0.1292431481015841
D_incremental_I_,7,[7],0.524904214559387
D_incremental_I_,8,[8],0.21991125901275652
D_incremental_I_,9,[9],0.4932599724896836
D_incremental_I_,10,[10],0.3622942884801549
D_incremental_I_,11,[11],0.2920268972142171
