run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
D_incremental_I_,0,[0],44267,4181,104,104
D_incremental_I_,1,[1],44315,4133,104,104
D_incremental_I_,2,[2],44310,4138,104,104
D_incremental_I_,3,[3],44249,4199,104,104
D_incremental_I_,4,[4],44514,3934,104,104
D_incremental_I_,5,[5],44275,4173,104,104
D_incremental_I_,6,[6],44471,3977,104,104
D_incremental_I_,7,[7],44272,4176,104,104
D_incremental_I_,8,[8],44842,3606,104,104
D_incremental_I_,9,[9],44813,3635,104,104
D_incremental_I_,10,[10],44316,4132,104,104
D_incremental_I_,11,[11],44284,4164,104,104
