run,fold,test_bases,RF
D_incremental_I_,0,[0],0.5116000956708922
D_incremental_I_,1,[1],0.13597870796031938
D_incremental_I_,2,[2],0.375060415659739
D_incremental_I_,3,[3],0.4015241724220052
D_incremental_I_,4,[4],0.5244026436197254
D_incremental_I_,5,[5],0.5406182602444285
D_incremental_I_,6,[6],0.15489062107115917
D_incremental_I_,7,[7],0.5500478927203065
D_incremental_I_,8,[8],0.23765945646145314
D_incremental_I_,9,[9],0.5039889958734526
D_incremental_I_,10,[10],0.41723136495643753
D_incremental_I_,11,[11],0.2548030739673391
