run,fold,test_bases,RF
D_incremental_I_,0,[0],0.40540540540540543
D_incremental_I_,1,[1],0.14105976288410355
D_incremental_I_,2,[2],0.34243595940067667
D_incremental_I_,3,[3],0.2607763753274589
D_incremental_I_,4,[4],0.3884087442806304
D_incremental_I_,5,[5],0.49245147375988496
D_incremental_I_,6,[6],0.16997736987679155
D_incremental_I_,7,[7],0.5720785440613027
D_incremental_I_,8,[8],0.24708818635607321
D_incremental_I_,9,[9],0.4861072902338377
D_incremental_I_,10,[10],0.31776379477250727
D_incremental_I_,11,[11],0.2961095100864553
