run,fold,test_bases,RF
D_incremental_I_,0,[0],0.34570711980467356
D_incremental_I_,1,[1],0.1270442491974101
D_incremental_I_,2,[2],0.23037127617854194
D_incremental_I_,3,[3],0.18930601883082698
D_incremental_I_,4,[4],0.33917738208961656
D_incremental_I_,5,[5],0.3578301411610434
D_incremental_I_,6,[6],0.10763884819673725
D_incremental_I_,7,[7],0.49462057208700155
D_incremental_I_,8,[8],0.17619729843964638
D_incremental_I_,9,[9],0.3721111390230497
D_incremental_I_,10,[10],0.27418978019944446
D_incremental_I_,11,[11],0.21726767219404908
