run,fold,test_bases,RF
D_incremental_I_,0,[0],0.32023529411764706
D_incremental_I_,1,[1],0.24631128034269395
D_incremental_I_,2,[2],0.5607321131447587
D_incremental_I_,3,[3],0.1965791940018744
D_incremental_I_,4,[4],0.3110167374469148
D_incremental_I_,5,[5],0.4530881659594531
D_incremental_I_,6,[6],0.29288185862580324
D_incremental_I_,7,[7],0.4652532391048292
D_incremental_I_,8,[8],0.25795918367346937
D_incremental_I_,9,[9],0.37311015118790497
D_incremental_I_,10,[10],0.30611759104975006
D_incremental_I_,11,[11],0.3250649657453343
