run,fold,test_bases,RF
D_incremental_I_,0,[0],0.24957125150886592
D_incremental_I_,1,[1],0.23538841487577353
D_incremental_I_,2,[2],0.4926023937375895
D_incremental_I_,3,[3],0.1742662996198771
D_incremental_I_,4,[4],0.2636847113943229
D_incremental_I_,5,[5],0.3986441201221609
D_incremental_I_,6,[6],0.2763146308439504
D_incremental_I_,7,[7],0.3957362762455283
D_incremental_I_,8,[8],0.24572300453649792
D_incremental_I_,9,[9],0.36567877415871725
D_incremental_I_,10,[10],0.2881892912915966
D_incremental_I_,11,[11],0.2505008411702026
