run,fold,test_bases,RF
D_incremental_I_,0,[0],0.29858823529411765
D_incremental_I_,1,[1],0.09662065683008092
D_incremental_I_,2,[2],0.4908485856905158
D_incremental_I_,3,[3],0.24062792877225866
D_incremental_I_,4,[4],0.2797901573819635
D_incremental_I_,5,[5],0.3823668081093824
D_incremental_I_,6,[6],0.2550667325753831
D_incremental_I_,7,[7],0.48810365135453476
D_incremental_I_,8,[8],0.24217687074829933
D_incremental_I_,9,[9],0.5872030237580994
D_incremental_I_,10,[10],0.16567483932397048
D_incremental_I_,11,[11],0.3777462792345854
