run,fold,test_bases,RF
D_incremental_I_,0,[0],0.33212197406832145
D_incremental_I_,1,[1],0.18536700196166112
D_incremental_I_,2,[2],0.4854317389273598
D_incremental_I_,3,[3],0.1441720479764978
D_incremental_I_,4,[4],0.25274498661642325
D_incremental_I_,5,[5],0.407132595886715
D_incremental_I_,6,[6],0.2616794993838718
D_incremental_I_,7,[7],0.34094485389761625
D_incremental_I_,8,[8],0.2699820350784497
D_incremental_I_,9,[9],0.3674565501649016
D_incremental_I_,10,[10],0.2581541450444534
D_incremental_I_,11,[11],0.21114959970271832
