run,fold,test_bases,RF
D_incremental_I_,0,[0],0.356
D_incremental_I_,1,[1],0.31128034269395527
D_incremental_I_,2,[2],0.49750415973377704
D_incremental_I_,3,[3],0.2422680412371134
D_incremental_I_,4,[4],0.26430177366974766
D_incremental_I_,5,[5],0.43257897218293256
D_incremental_I_,6,[6],0.3203163618388532
D_incremental_I_,7,[7],0.4216725559481743
D_incremental_I_,8,[8],0.34938775510204084
D_incremental_I_,9,[9],0.3987580993520518
D_incremental_I_,10,[10],0.3411092597000714
D_incremental_I_,11,[11],0.2532482872667139
