run,fold,test_bases,RF
D_incremental_I_,0,[0],0.30700714619526864
D_incremental_I_,1,[1],0.28367536785398895
D_incremental_I_,2,[2],0.4614029503356011
D_incremental_I_,3,[3],0.21334444742163813
D_incremental_I_,4,[4],0.1650944841662814
D_incremental_I_,5,[5],0.21819540988938552
D_incremental_I_,6,[6],0.20464974462533483
D_incremental_I_,7,[7],0.39175332257597906
D_incremental_I_,8,[8],0.2769905135279998
D_incremental_I_,9,[9],0.37807952168230635
D_incremental_I_,10,[10],0.16232330246211077
D_incremental_I_,11,[11],0.10512787197825138
