run,fold,test_bases,RF
D_incremental_I_,0,[0],0.3876275101877643
D_incremental_I_,1,[1],0.18477584594624366
D_incremental_I_,2,[2],0.4900625433689473
D_incremental_I_,3,[3],0.15891942151254923
D_incremental_I_,4,[4],0.25865862074883506
D_incremental_I_,5,[5],0.45770038660255874
D_incremental_I_,6,[6],0.24409499648400063
D_incremental_I_,7,[7],0.33240574023068536
D_incremental_I_,8,[8],0.2699549364126571
D_incremental_I_,9,[9],0.44405923495338184
D_incremental_I_,10,[10],0.2701497607412579
D_incremental_I_,11,[11],0.2870178817415308
