run,fold,test_bases,RF
D_incremental_I_,0,[0],0.1559343383559566
D_incremental_I_,1,[1],0.3902885681880834
D_incremental_I_,2,[2],0.4320274387636549
D_incremental_I_,3,[3],0.3270972596011944
D_incremental_I_,4,[4],0.13725073841185872
D_incremental_I_,5,[5],0.3386730073801374
D_incremental_I_,6,[6],0.34834291825682073
D_incremental_I_,7,[7],0.42168971570283553
D_incremental_I_,8,[8],0.09370541282248118
D_incremental_I_,9,[9],0.31208958301417383
D_incremental_I_,10,[10],0.3179559861099328
D_incremental_I_,11,[11],0.21533808277009128
