run,fold,test_bases,RF
D_incremental_I_,0,[0],0.416
D_incremental_I_,1,[1],0.2310804378867206
D_incremental_I_,2,[2],0.655098645115284
D_incremental_I_,3,[3],0.41002811621368324
D_incremental_I_,4,[4],0.3524856357731701
D_incremental_I_,5,[5],0.42692126355492693
D_incremental_I_,6,[6],0.15348492338111716
D_incremental_I_,7,[7],0.4925795053003534
D_incremental_I_,8,[8],0.1853061224489796
D_incremental_I_,9,[9],0.384719222462203
D_incremental_I_,10,[10],0.362532730302309
D_incremental_I_,11,[11],0.47318686510748875
