run,fold,test_bases,RF
D_incremental_I_,0,[0],0.29341176470588237
D_incremental_I_,1,[1],0.23441218467396477
D_incremental_I_,2,[2],0.4813406227715712
D_incremental_I_,3,[3],0.21110590440487348
D_incremental_I_,4,[4],0.3220084936297777
D_incremental_I_,5,[5],0.4024045261669024
D_incremental_I_,6,[6],0.2476520019772615
D_incremental_I_,7,[7],0.4183745583038869
D_incremental_I_,8,[8],0.3131972789115646
D_incremental_I_,9,[9],0.4090172786177106
D_incremental_I_,10,[10],0.3120685551059272
D_incremental_I_,11,[11],0.3583746751712733
