scenario,detector_name,best_macro_f1
drift_ot,ADWIN,0.3099111700329426
catch24_drift_ot,ADWIN,0.3225112500324853
drift_ot,PageHinkley,0.30971262611539524
catch24_drift_ot,PageHinkley,0.299144304438366
drift_ot,KSWIN,0.2908660874481017
catch24_drift_ot,KSWIN,0.2692884581168367
drift_ot,CUSUM,0.31372709499182655
catch24_drift_ot,CUSUM,0.27719449218451775
drift_ot,EWMAChart,0.2667558244708113
catch24_drift_ot,EWMAChart,0.28254646160585173
drift_ot,GeometricMovingAverage,0.26397034022617877
catch24_drift_ot,GeometricMovingAverage,0.27869069174225486
drift_ot,HDDMAverage,0.3154522399108677
catch24_drift_ot,HDDMAverage,0.3140920545103658
drift_ot,HDDMWeighted,0.2618355284768334
catch24_drift_ot,HDDMWeighted,0.27869069174225486
drift_ot,SEED,0.2737611300677385
catch24_drift_ot,SEED,0.2929879341851617
