run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.148295147032293
D_recorrente_D_,1,[1],0.1618048305583407
D_recorrente_D_,2,[2],0.1426807882688033
D_recorrente_D_,3,[3],0.1222957680566296
D_recorrente_D_,4,[4],0.3729557713595501
D_recorrente_D_,5,[5],0.340141780077486
D_recorrente_D_,6,[6],0.1281903379663285
D_recorrente_D_,7,[7],0.3371396877770674
D_recorrente_D_,8,[8],0.0848882795835731
D_recorrente_D_,9,[9],0.3075977499104613
D_recorrente_D_,10,[10],0.1195707514681927
D_recorrente_D_,11,[11],0.1470273934546308
D_recorrente_D_,0,[0],0.148295147032293
D_recorrente_D_,1,[1],0.1618048305583407
D_recorrente_D_,2,[2],0.1426807882688033
D_recorrente_D_,3,[3],0.12229576805662969
D_recorrente_D_,4,[4],0.3729557713595501
D_recorrente_D_,5,[5],0.340141780077486
D_recorrente_D_,6,[6],0.12819033796632853
D_recorrente_D_,7,[7],0.3371396877770674
D_recorrente_D_,8,[8],0.08488827958357313
D_recorrente_D_,9,[9],0.3075977499104613
D_recorrente_D_,10,[10],0.11957075146819277
D_recorrente_D_,11,[11],0.14702739345463084
