run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.8419905978247241
D_recorrente_D_,1,[1],0.8528758855994344
D_recorrente_D_,2,[2],0.8674294606406472
D_recorrente_D_,3,[3],0.7644882422394972
D_recorrente_D_,4,[4],0.7355707023423259
D_recorrente_D_,5,[5],0.7086981128870184
D_recorrente_D_,6,[6],0.515809094782111
D_recorrente_D_,7,[7],0.859185447631124
D_recorrente_D_,8,[8],0.7565343560900532
D_recorrente_D_,9,[9],0.6976014130092104
D_recorrente_D_,10,[10],0.7994223951428172
D_recorrente_D_,11,[11],0.8316600201319877
