run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.6642364432841222
D_recorrente_D_,1,[1],0.537344814319854
D_recorrente_D_,2,[2],0.6319877525271614
D_recorrente_D_,3,[3],0.3649602721055205
D_recorrente_D_,4,[4],0.6844673777355259
D_recorrente_D_,5,[5],0.4217476147947722
D_recorrente_D_,6,[6],0.4356277518825182
D_recorrente_D_,7,[7],0.5525097836842602
D_recorrente_D_,8,[8],0.66499730883571
D_recorrente_D_,9,[9],0.44935631185266744
D_recorrente_D_,10,[10],0.4925677310603939
D_recorrente_D_,11,[11],0.6486504602662967
