run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.6850670220191679
D_recorrente_D_,1,[1],0.4343448927094363
D_recorrente_D_,2,[2],0.6277314894903033
D_recorrente_D_,3,[3],0.33995285020406535
D_recorrente_D_,4,[4],0.6873015774827713
D_recorrente_D_,5,[5],0.32516658150101546
D_recorrente_D_,6,[6],0.3256796685436707
D_recorrente_D_,7,[7],0.6547879813392586
D_recorrente_D_,8,[8],0.6739223164789774
D_recorrente_D_,9,[9],0.45545864470454633
D_recorrente_D_,10,[10],0.64594254409615
D_recorrente_D_,11,[11],0.6513067585262243
