run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.7231897341888176
D_recorrente_D_,1,[1],0.6291592128801431
D_recorrente_D_,2,[2],0.6568239106949946
D_recorrente_D_,3,[3],0.4903015171884002
D_recorrente_D_,4,[4],0.7203237410071942
D_recorrente_D_,5,[5],0.3880570409982175
D_recorrente_D_,6,[6],0.5760028782155063
D_recorrente_D_,7,[7],0.7138505644149794
D_recorrente_D_,8,[8],0.7059779664078021
D_recorrente_D_,9,[9],0.4070432606363961
D_recorrente_D_,10,[10],0.4269389284376171
D_recorrente_D_,11,[11],0.70049768929968
