run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.6636718117121136
D_recorrente_D_,1,[1],0.47359286012119395
D_recorrente_D_,2,[2],0.6273481003816059
D_recorrente_D_,3,[3],0.3498120255460886
D_recorrente_D_,4,[4],0.68377769025692
D_recorrente_D_,5,[5],0.3465773078424593
D_recorrente_D_,6,[6],0.3313122061566953
D_recorrente_D_,7,[7],0.6385397088345252
D_recorrente_D_,8,[8],0.6587012711413894
D_recorrente_D_,9,[9],0.5234939081443462
D_recorrente_D_,10,[10],0.5883627727425935
D_recorrente_D_,11,[11],0.6451800378487821
