run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.7016466124004361
D_recorrente_D_,1,[1],0.7640237791584691
D_recorrente_D_,2,[2],0.8457601447673057
D_recorrente_D_,3,[3],0.7617254934266801
D_recorrente_D_,4,[4],0.7012467245749465
D_recorrente_D_,5,[5],0.673334596961694
D_recorrente_D_,6,[6],0.5547077705106602
D_recorrente_D_,7,[7],0.7636087659480747
D_recorrente_D_,8,[8],0.7070511643037072
D_recorrente_D_,9,[9],0.6117115551093161
D_recorrente_D_,10,[10],0.7488639858008345
D_recorrente_D_,11,[11],0.78467350114341
