run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.7096241979835014
D_recorrente_D_,1,[1],0.5574239713774598
D_recorrente_D_,2,[2],0.6948145480734605
D_recorrente_D_,3,[3],0.3904359516036105
D_recorrente_D_,4,[4],0.7188848920863309
D_recorrente_D_,5,[5],0.38894830659536545
D_recorrente_D_,6,[6],0.4360496492174852
D_recorrente_D_,7,[7],0.7156423580003584
D_recorrente_D_,8,[8],0.7045331406899042
D_recorrente_D_,9,[9],0.5396853771898462
D_recorrente_D_,10,[10],0.4282502810041214
D_recorrente_D_,11,[11],0.6912548880199075
