run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.86012832263978
D_recorrente_D_,1,[1],0.6577817531305903
D_recorrente_D_,2,[2],0.7088584803745048
D_recorrente_D_,3,[3],0.5348569233723833
D_recorrente_D_,4,[4],0.6627697841726619
D_recorrente_D_,5,[5],0.6007130124777184
D_recorrente_D_,6,[6],0.5443425076452599
D_recorrente_D_,7,[7],0.6835692528220749
D_recorrente_D_,8,[8],0.6597435434350731
D_recorrente_D_,9,[9],0.6371111905613157
D_recorrente_D_,10,[10],0.5539527913076059
D_recorrente_D_,11,[11],0.7264486313544258
