run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.7096241979835014
D_recorrente_D_,1,[1],0.4670840787119857
D_recorrente_D_,2,[2],0.6868923298523587
D_recorrente_D_,3,[3],0.3017092375648166
D_recorrente_D_,4,[4],0.7151079136690648
D_recorrente_D_,5,[5],0.39126559714795006
D_recorrente_D_,6,[6],0.4040295017089405
D_recorrente_D_,7,[7],0.7011288299587888
D_recorrente_D_,8,[8],0.48582264764312805
D_recorrente_D_,9,[9],0.6235252055774043
D_recorrente_D_,10,[10],0.6922068190333458
D_recorrente_D_,11,[11],0.6910771418414504
