run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.8417965169569203
D_recorrente_D_,1,[1],0.8091234347048301
D_recorrente_D_,2,[2],0.8498379546272956
D_recorrente_D_,3,[3],0.7487996927213366
D_recorrente_D_,4,[4],0.7444244604316547
D_recorrente_D_,5,[5],0.7110516934046346
D_recorrente_D_,6,[6],0.6179168915272532
D_recorrente_D_,7,[7],0.8631069700770472
D_recorrente_D_,8,[8],0.7666606465595087
D_recorrente_D_,9,[9],0.7702895959957097
D_recorrente_D_,10,[10],0.7920569501686024
D_recorrente_D_,11,[11],0.8146107358691788
