run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.3343481375358166
D_recorrente_D_,1,[1],0.5158244448330128
D_recorrente_D_,2,[2],0.49744853070561323
D_recorrente_D_,3,[3],0.33152173913043476
D_recorrente_D_,4,[4],0.372473193882932
D_recorrente_D_,5,[5],0.21920195155950514
D_recorrente_D_,6,[6],0.31557665260196904
D_recorrente_D_,7,[7],0.4725043782837128
D_recorrente_D_,8,[8],0.11066007765619484
D_recorrente_D_,9,[9],0.4476673073562817
D_recorrente_D_,10,[10],0.2798609840863362
D_recorrente_D_,11,[11],0.30877497827975675
